ejecutable;numElementos;tiempo
ht_double;1000;4768100
ht_open;1000;4620900
ht_linear;5000;22941900
ht_quadratic;5000;21969400
ht_double;5000;22670900
ht_open;5000;22895900
ht_linear;10000;39670700
ht_quadratic;10000;37548400
ht_double;10000;39342700
ht_open;10000;40604000
ht_linear;20000;86730700
ht_quadratic;20000;87311100
ht_double;20000;86337500
ht_open;20000;88720700
ht_linear;1000;6365100
ht_quadratic;1000;5062900
ht_double;1000;4508200
ht_open;1000;5085900
ht_linear;5000;22373200
ht_quadratic;5000;22743900
ht_double;5000;22680900
ht_open;5000;22814700
ht_linear;10000;39052400
ht_quadratic;10000;38410700
ht_double;10000;38437400
ht_open;10000;39718600
ht_linear;20000;91962100
ht_quadratic;20000;86608500
ht_double;20000;86625500
ht_open;20000;89045900
ht_linear;1000;7986200
ht_quadratic;1000;5071100
ht_double;1000;5059800
ht_open;1000;5442800
ht_linear;5000;24928400
ht_quadratic;5000;34271200
ht_double;5000;22278700
ht_open;5000;22412300
ht_linear;10000;39517800
ht_quadratic;10000;41307900
ht_double;10000;37975300
ht_open;10000;39734200
ht_linear;20000;87033000
ht_quadratic;20000;92045200
ht_double;20000;92649500
ht_open;20000;91919700
ht_linear;1000;4953900
ht_quadratic;1000;5262300
ht_double;1000;5328500
ht_open;1000;4092000
ht_linear;5000;23099100
ht_quadratic;5000;22843600
ht_double;5000;21827200
ht_open;5000;23321100
ht_linear;10000;39249400
ht_quadratic;10000;38327100
ht_double;10000;37956400
ht_open;10000;39175100
ht_linear;20000;86086900
ht_quadratic;20000;88700700
ht_double;20000;88361300
ht_open;20000;89256100
ht_linear;1000;5560500
ht_quadratic;1000;7412800
ht_double;1000;4948100
ht_open;1000;4003200
ht_linear;5000;22649200
ht_quadratic;5000;22625200
ht_double;5000;21307800
ht_open;5000;23175300
ht_linear;10000;39387000
ht_quadratic;10000;38839600
ht_double;10000;39108400
ht_open;10000;40231800
ht_linear;20000;88093000
ht_quadratic;20000;88842800
ht_double;20000;87388300
ht_open;20000;94547700
ht_linear;1000;6254700
ht_quadratic;1000;4514100
ht_double;1000;5275100
ht_open;1000;5311800
ht_linear;5000;22747300
ht_quadratic;5000;25614500
ht_double;5000;29168600
ht_open;5000;33477700
ht_linear;10000;42283100
ht_quadratic;10000;39631500
ht_double;10000;39062300
ht_open;10000;39770800
ht_linear;20000;87651400
ht_quadratic;20000;86080100
ht_double;20000;87798600
ht_open;20000;88436500
ht_linear;1000;5571900
ht_quadratic;1000;4520100
ht_double;1000;5707900
ht_open;1000;4777000
ht_linear;5000;23046000
ht_quadratic;5000;22672400
ht_double;5000;22115100
ht_open;5000;23179500
ht_linear;10000;39900600
ht_quadratic;10000;39344300
ht_double;10000;37926800
ht_open;10000;41101200
ht_linear;20000;95858800
ht_quadratic;20000;87935800
ht_double;20000;85919200
ht_open;20000;87334300
ht_linear;1000;5380700
ht_quadratic;1000;4981800
ht_double;1000;5072400
ht_open;1000;4984300
ht_linear;5000;24146500
ht_quadratic;5000;22643100
ht_double;5000;23524200
ht_open;5000;26136200
ht_linear;10000;39843700
ht_quadratic;10000;38546700
ht_double;10000;39152700
ht_open;10000;39416500
ht_linear;20000;88060600
ht_quadratic;20000;87054200
ht_double;20000;86536000
ht_open;20000;91400600
ht_linear;1000;5190400
ht_quadratic;1000;5592000
ht_double;1000;4991500
ht_open;1000;5139700
ht_linear;5000;23576200
ht_quadratic;5000;22521600
ht_double;5000;21725000
ht_open;5000;23386600
ht_linear;10000;38924100
ht_quadratic;10000;38494700
ht_double;10000;39111700
ht_open;10000;39980900
ht_linear;20000;87087400
ht_quadratic;20000;87611300
ht_double;20000;87257000
ht_open;20000;93517200
ht_linear;1000;5525100
ht_quadratic;1000;5519800
ht_double;1000;3852200
ht_open;1000;5923000
ht_linear;5000;29848600
ht_quadratic;5000;22147600
ht_double;5000;22804900
ht_open;5000;22883200
ht_linear;10000;40244500
ht_quadratic;10000;38500300
ht_double;10000;38735000
ht_open;10000;39842500
ht_linear;20000;87261000
ht_quadratic;20000;86776700
ht_double;20000;87113700
ht_open;20000;88361400
